task,geometry,behavior_family,obs_mode,temporal_mode,model,sequence_r,sequence_l,sequence_ell,input_injection,n_runs,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem,context_accuracy_mean,context_accuracy_sem
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,lin_sequence_all_units_r3_l4,3,4,6,all_units,6,0.36666666666666664,0.021081851067789207,0.2333333333333333,0.04216370213557839,0.13333333333333333,0.021081851067789197
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r1_l2,1,2,2,front_bands,6,0.3666666666666667,0.021081851067789207,0.48333333333333334,0.06540472290116194,0.21666666666666667,0.03073181485764296
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r1_l4,1,4,4,front_bands,6,0.4166666666666667,0.03073181485764296,0.3666666666666667,0.0557773351022717,0.16666666666666666,0.03333333333333333
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r1_l8,1,8,8,front_bands,6,0.4166666666666667,0.016666666666666663,0.38333333333333336,0.030731814857642967,0.18333333333333335,0.03073181485764296
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r3_l2,3,2,4,front_bands,6,0.4166666666666666,0.03073181485764296,0.35000000000000003,0.05,0.16666666666666666,0.03333333333333333
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r3_l4,3,4,6,front_bands,6,0.4166666666666667,0.03073181485764296,0.26666666666666666,0.04944132324730442,0.15000000000000002,0.0223606797749979
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r3_l8,3,8,10,front_bands,6,0.39999999999999997,0.02581988897471612,0.21666666666666667,0.016666666666666663,0.18333333333333332,0.03073181485764296
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r5_l2,5,2,6,front_bands,6,0.38333333333333336,0.016666666666666673,0.3,0.0447213595499958,0.20000000000000004,0.03651483716701107
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r5_l4,5,4,8,front_bands,6,0.4333333333333333,0.021081851067789193,0.24999999999999997,0.03415650255319867,0.18333333333333332,0.03073181485764296
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r5_l8,5,8,12,front_bands,6,0.3833333333333333,0.030731814857642967,0.25000000000000006,0.034156502553198666,0.19999999999999998,0.025819888974716113
