environment,mode,action_a,action_b,score
shortcut_tree_025,raw,C1,C1,1.000000
shortcut_tree_025,raw,C1,C2,0.669421
shortcut_tree_025,raw,C1,U,0.107438
shortcut_tree_025,raw,C1,L,0.884298
shortcut_tree_025,raw,C1,R,0.917355
shortcut_tree_025,raw,C2,C0,0.669421
shortcut_tree_025,raw,C2,C1,0.669421
shortcut_tree_025,raw,C2,C2,1.000000
shortcut_tree_025,raw,C2,U,0.107438
shortcut_tree_025,raw,C2,L,0.892562
shortcut_tree_025,raw,C2,R,0.917355
shortcut_tree_025,raw,U,C0,0.107438
shortcut_tree_025,raw,U,C1,0.107438
shortcut_tree_025,raw,U,C2,0.107438
shortcut_tree_025,raw,U,U,1.000000
shortcut_tree_025,raw,U,L,0.818182
shortcut_tree_025,raw,U,R,0.818182
shortcut_tree_025,raw,L,C0,0.917355
shortcut_tree_025,raw,L,C1,0.884298
shortcut_tree_025,raw,L,C2,0.892562
shortcut_tree_025,raw,L,U,0.818182
shortcut_tree_025,raw,L,L,1.000000
shortcut_tree_025,raw,L,R,0.933884
shortcut_tree_025,raw,R,C0,0.900826
shortcut_tree_025,raw,R,C1,0.917355
shortcut_tree_025,raw,R,C2,0.917355
shortcut_tree_025,raw,R,U,0.818182
shortcut_tree_025,raw,R,L,0.933884
shortcut_tree_025,raw,R,R,1.000000
shortcut_tree_025,valid_only,C0,C0,1.000000
shortcut_tree_025,valid_only,C0,C1,0.000000
shortcut_tree_025,valid_only,C0,C2,0.000000
shortcut_tree_025,valid_only,C0,U,0.333333
shortcut_tree_025,valid_only,C0,L,0.000000
shortcut_tree_025,valid_only,C0,R,0.000000
shortcut_tree_025,valid_only,C1,C0,0.000000
shortcut_tree_025,valid_only,C1,C1,1.000000
shortcut_tree_025,valid_only,C1,C2,0.000000
shortcut_tree_025,valid_only,C1,U,0.333333
shortcut_tree_025,valid_only,C1,L,0.000000
shortcut_tree_025,valid_only,C1,R,0.000000
shortcut_tree_025,valid_only,C2,C0,0.000000
shortcut_tree_025,valid_only,C2,C1,0.000000
shortcut_tree_025,valid_only,C2,C2,1.000000
shortcut_tree_025,valid_only,C2,U,0.333333
shortcut_tree_025,valid_only,C2,L,0.000000
shortcut_tree_025,valid_only,C2,R,0.000000
shortcut_tree_025,valid_only,U,C0,0.333333
shortcut_tree_025,valid_only,U,C1,0.333333
shortcut_tree_025,valid_only,U,C2,0.333333
shortcut_tree_025,valid_only,U,U,1.000000
shortcut_tree_025,valid_only,U,L,0.347826
shortcut_tree_025,valid_only,U,R,0.285714
shortcut_tree_025,valid_only,L,C0,0.000000
shortcut_tree_025,valid_only,L,C1,0.000000
shortcut_tree_025,valid_only,L,C2,0.000000
shortcut_tree_025,valid_only,L,U,0.347826
shortcut_tree_025,valid_only,L,L,1.000000
shortcut_tree_025,valid_only,L,R,1.000000
shortcut_tree_025,valid_only,R,C0,0.000000
shortcut_tree_025,valid_only,R,C1,0.000000
shortcut_tree_025,valid_only,R,C2,0.000000
shortcut_tree_025,valid_only,R,U,0.285714
shortcut_tree_025,valid_only,R,L,1.000000
shortcut_tree_025,valid_only,R,R,1.000000
shortcut_tree_050,raw,C0,C0,1.000000
shortcut_tree_050,raw,C0,C1,0.669421
shortcut_tree_050,raw,C0,C2,0.669421
shortcut_tree_050,raw,C0,U,0.107438
shortcut_tree_050,raw,C0,L,0.834711
shortcut_tree_050,raw,C0,R,0.818182
shortcut_tree_050,raw,C1,C0,0.669421
shortcut_tree_050,raw,C1,C1,1.000000
shortcut_tree_050,raw,C1,C2,0.669421
shortcut_tree_050,raw,C1,U,0.107438
shortcut_tree_050,raw,C1,L,0.801653
shortcut_tree_050,raw,C1,R,0.818182
shortcut_tree_050,raw,C2,C0,0.669421
shortcut_tree_050,raw,C2,C1,0.669421
shortcut_tree_050,raw,C2,C2,1.000000
shortcut_tree_050,raw,C2,U,0.107438
shortcut_tree_050,raw,C2,L,0.801653
shortcut_tree_050,raw,C2,R,0.834711
shortcut_tree_050,raw,U,C0,0.107438
shortcut_tree_050,raw,U,C1,0.107438
shortcut_tree_050,raw,U,C2,0.107438
shortcut_tree_050,raw,U,U,1.000000
shortcut_tree_050,raw,U,L,0.652893
shortcut_tree_050,raw,U,R,0.652893
shortcut_tree_050,raw,L,C0,0.834711
shortcut_tree_050,raw,L,C1,0.801653
shortcut_tree_050,raw,L,C2,0.801653
shortcut_tree_050,raw,L,U,0.652893
shortcut_tree_050,raw,L,L,1.000000
shortcut_tree_050,raw,L,R,0.933884
shortcut_tree_050,raw,R,C0,0.818182
shortcut_tree_050,raw,R,C1,0.818182
shortcut_tree_050,raw,R,C2,0.834711
shortcut_tree_050,raw,R,U,0.652893
shortcut_tree_050,raw,R,L,0.933884
shortcut_tree_050,raw,R,R,1.000000
shortcut_tree_050,valid_only,C0,C0,1.000000
shortcut_tree_050,valid_only,C0,C1,0.000000
shortcut_tree_050,valid_only,C0,C2,0.000000
shortcut_tree_050,valid_only,C0,U,0.333333
shortcut_tree_050,valid_only,C0,L,0.000000
shortcut_tree_050,valid_only,C0,R,0.000000
shortcut_tree_050,valid_only,C1,C0,0.000000
shortcut_tree_050,valid_only,C1,C1,1.000000
shortcut_tree_050,valid_only,C1,C2,0.000000
shortcut_tree_050,valid_only,C1,U,0.333333
shortcut_tree_050,valid_only,C1,L,0.000000
shortcut_tree_050,valid_only,C1,R,0.000000
shortcut_tree_050,valid_only,C2,C0,0.000000
shortcut_tree_050,valid_only,C2,C1,0.000000
shortcut_tree_050,valid_only,C2,C2,1.000000
shortcut_tree_050,valid_only,C2,U,0.333333
shortcut_tree_050,valid_only,C2,L,0.000000
shortcut_tree_050,valid_only,C2,R,0.000000
shortcut_tree_050,valid_only,U,C0,0.333333
shortcut_tree_050,valid_only,U,C1,0.333333
shortcut_tree_050,valid_only,U,C2,0.333333
shortcut_tree_050,valid_only,U,U,1.000000
shortcut_tree_050,valid_only,U,L,0.346154
shortcut_tree_050,valid_only,U,R,0.321429
shortcut_tree_050,valid_only,L,C0,0.000000
shortcut_tree_050,valid_only,L,C1,0.000000
shortcut_tree_050,valid_only,L,C2,0.000000
shortcut_tree_050,valid_only,L,U,0.346154
shortcut_tree_050,valid_only,L,L,1.000000
shortcut_tree_050,valid_only,L,R,1.000000
shortcut_tree_050,valid_only,R,C0,0.000000
shortcut_tree_050,valid_only,R,C1,0.000000
shortcut_tree_050,valid_only,R,C2,0.000000
shortcut_tree_050,valid_only,R,U,0.321429
